a;ut
able;sa
about;circem
absence;an-ai
absence;anai
absent;an-ai
absent;anai
absorb;por-in
absorb;porin
accident;cas
account(n);ratitas
account(v);rati
achieve;le-in
achieve;lein
achievement;le-in-tas
achievement;leintas
acid;coxi-tas
acid;coxitas
acquaintance;afin
across;trax
act(n);ac-tas
act(n);actas
act (v);ac
acting;ac-te
acting;acte
add;adix
addition;adictas
adding;adicte
adequate;satis
administration;ben-mon-tas
administration;benmontas
admit;chan-por
admit;chanpor
admittance;chan-por-tas
admittance;chanportas
adorn;tint
advice;mon-wis
advice;monwis
affinity;fed-tas
affinity;fedtas
after;pos
again;denae
against;an-adsenk-tas
against;anadsenktas
age;vas-tim
age;vastim
ago;prae-tim
ago;praetim
agree;adsenkt
agreement;adsenktas
agricultural leader;us-arb-vas-lem
agricultural leader;usarbvaslem
air;hur
albeit;et
alert;jux-wis
alert;juxwis
all;tu
allright;vers
allow;can
almost;presk
also;mis-tim
also;mistim
although;et
always;tu-tim
always;tutim
among;ante
amount;minzur
amuse;oblek
amusement;oblektas
ancient;prae-tim-de
ancient;praetimde
and;esh
and;ew
anger(n);belis-tas
anger(n);belistas
anger(v);belis
angle;angulem
angry;belis-ku
angry;belisku
animal;zen
annoy;vex
annoying;vex-te
annoying;vexte
anoint;ungo
answer;res
ant;formi
anticipate;sper
antidote;an-nax-ailem
antidote;annaxailem
any;kui
anything;kui-ailem
anything;kuiailem
anytime;kui-tim
anytime;kuitim
apart;dis
aperture;fora
apparatus;makis
apple;mal
approve;adsenkt-de
approve;adsenktde
arc;arch
archive;mag-enu
achive;magenu
are;est
argue;oro
argument;oro-tas
argument;orotas
arm;brak
armor;aglo
army;agra-lem-mur
army;agralemur
aroma;olef-tas
aroma;oleftas
arrive;tim-por
arrive;timpor
art;ars
artifact;ben-in-ailem
artifact;beninailem
artist;ars-lem
artist;arslem
as;kua
as;ve
ascend;uus-por
ascend;uuspor
ask;arr
assemble;int-rep-ku
assemble;intrepku
